ID,Fecha de detección,Nombre de la oportunidad,Entidad financiadora,Tipo de entidad,País / región de la entidad,Países elegibles,Sector o tema principal,Subtema,Tipo de apoyo,Monto disponible,Moneda,Cofinanciación requerida,Fecha de apertura,Fecha de cierre,Estado,Nivel de urgencia,URL oficial,URL secundaria,Resumen ejecutivo,Pertinencia para Visión Circular ANDI,Posibles líneas de proyecto aplicables,Requisitos principales,Documentos requeridos,Aliados potenciales,Riesgos o restricciones,Recomendación de acción,Próximo paso sugerido,Responsable sugerido,Score de pertinencia (1-5),Score de urgencia (1-5),Score de probabilidad de aplicación (1-5),Observaciones,Hash o clave para evitar duplicados,Fecha de última revisión
VC-0011,2026-05-29,Circulate Capital - Latam Opportunistic Investments,Circulate Capital,Fondo de inversión privado / Plataforma,Estados Unidos,América Latina y el Caribe (oportunísticamente),Economía circular,"Reciclaje, gestión de residuos plásticos, materiales innovadores bio-basados/compostables, modelos de negocio circulares digitales, reciclaje químico avanzado",Financiamiento concesional; Equity; Deuda; Quasi-equity; Aceleración; Escalamiento,"2 a 30 millones USD (portfolio principal Asia); 1 a 5 millones USD (Disrupt - Innovation, global)",USD,"Sí, según modelo de inversión de capital privado",Abierta permanentemente,Abierta permanentemente (rolling basis),Activa,Baja,https://www.circulatecapital.com/apply-for-funding,No especificado,"Fondo de impacto enfocado en economía circular y gestión de residuos plásticos. Invierte principalmente en Asia del Sur y Sudeste, pero explora oportunísticamente oportunidades en América Latina y el Caribe. Busca empresas en etapa early-growth y growth con modelos financieramente atractivos. Apoya reciclaje, materiales innovadores, plataformas digitales circulares y reciclaje químico avanzado. Ticket de 2-30M USD (portfolio Asia) y 1-5M USD (Innovation, global).","Altamente relevante porque financia escalamiento de modelos de negocio circulares, reciclaje avanzado, materiales sostenibles y digitalización de cadenas de reciclaje, alineados con prioridades de ENEC Colombia y REP. Puede apoyar empresas asociadas a ANDI en crecimiento.",Escalamiento de plantas de reciclaje químico de plásticos flexibles; plataformas digitales de trazabilidad y formalización de recicladores; empresas de materiales bio-basados o compostables para empaques; modelos de reuso/refill para envases; inversión en startups circulares colombianas con potencial de crecimiento,"Empresas en etapa early-growth o growth; retornos financieros ajustados al riesgo; foco en residuos plásticos y economía circular; preferencia por Asia, pero abierto a Latam; modelos escalables","Business plan, modelo financiero, equipo fundador, métricas de impacto ambiental y social, plan de escalamiento (inferido del proceso típico de fondos de inversión)","Empresas asociadas ANDI con proyectos de reciclaje avanzado o innovación en materiales; startups colombianas de economía circular; Bancóldex, Innpulsa, fondos locales para co-inversión; SENA, universidades para I+D","Elegibilidad 'oportunística' sugiere que Latam no es prioridad geográfica; requiere madurez empresarial (early-growth/growth stage) y atractivo financiero, lo que excluye proyectos piloto o pre-seed; proceso competitivo","Mapear empresas asociadas a ANDI en etapa de crecimiento con proyectos de reciclaje químico, materiales innovadores o plataformas digitales circulares. Preparar pitch deck y modelo financiero. Contactar Circulate Capital para sondear interés específico en Colombia.","Identificar 2-3 empresas o startups colombianas con modelos escalables en economía circular (ej. reciclaje químico de flexibles, plataformas de trazabilidad). Realizar pre-acercamiento informal con Circulate Capital para validar fit geográfico y sectorial antes de aplicación formal.",Área de alianzas estratégicas / Innovación empresarial,5,1,3,"Circulate Capital es reconocido globalmente en financiamiento de economía circular. Su enfoque 'oportunístico' en Latam sugiere que Colombia debe presentar proyectos excepcionalmente atractivos. El fondo 'Disrupt - Innovation' (1-5M USD, global) puede ser más accesible para startups colombianas. No es grant ni cooperación técnica, sino inversión privada con expectativa de retorno.",38f53201a34e169d,2026-05-29
VC-0012,2026-05-29,Circular Economy Categorisation and Technical Assistance - IDB/IDB Invest Colombia,Banco Interamericano de Desarrollo (BID) / BID Invest,Banca multilateral,Regional (América Latina y Caribe),"Colombia (proyecto ejecutado con Bancóldex, Banco de Bogotá, Bancolombia)",Economía circular,"Financiamiento de proyectos circulares, categorización de inversiones, portafolio verde, alineación con ENEC y NDC Colombia",Asistencia técnica; Fortalecimiento institucional; Financiamiento concesional,No especificado,No especificado,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://energy-base.org/projects/circular-economy-taxonomy-for-colombia,https://idbinvest.org/sites/default/files/2024-08/Financing_Circular_Economy_Investments_Colombia_OK.pdf,"Asistencia técnica del BID/BID Invest para desarrollar una categorización de economía circular y acompañar su implementación piloto en tres bancos colombianos (Bancóldex, Banco de Bogotá, Bancolombia). Busca crear un mercado de financiamiento para proyectos del sector privado que contribuyan a la transición de economía lineal a circular, alineado con la Estrategia Nacional de Economía Circular (ENEC) y las NDC de Colombia. Incluye herramientas de evaluación de circularidad de inversiones.","Altamente relevante porque crea infraestructura financiera para canalizar recursos hacia proyectos de economía circular empresarial en Colombia. Facilita acceso a financiamiento para empresas asociadas ANDI que implementen modelos circulares en envases/empaques, reciclaje, REP, etc. La taxonomía permite evaluar y certificar circularidad de proyectos.",Acceso a líneas de crédito verde/circular en bancos colombianos para proyectos de ecodiseño de envases; financiamiento de infraestructura de reciclaje o logística inversa para REP; inversión en plantas de transformación de reciclados; certificación de circularidad de iniciativas empresariales; vinculación de empresas ANDI con Bancóldex para financiar pilotos circulares,Proyectos del sector privado; alineación con taxonomía de economía circular BID-Colombia; cumplimiento de criterios de circularidad evaluables; viabilidad financiera (inferido),No especificado (dependería de cada banco participante),"Bancóldex, Banco de Bogotá, Bancolombia; MinAmbiente, MinComercio; empresas asociadas ANDI con proyectos de inversión circular; BASE (consultora implementadora); BID Invest",El proyecto de asistencia técnica puede estar en fase de implementación o finalizado; no está claro si aún hay ventanas abiertas de apoyo directo o si ya se consolidó la taxonomía y ahora depende de cada banco. Requiere confirmación de vigencia.,"Contactar a Bancóldex, BID Invest Colombia o BASE para confirmar estado actual del proyecto y disponibilidad de líneas de crédito verde/circular para empresas. Explorar cómo empresas asociadas ANDI pueden acceder a financiamiento usando la taxonomía desarrollada.",Solicitar reunión con Bancóldex (área de financiamiento sostenible) para conocer productos activos de economía circular. Revisar documento técnico completo del BID (URL secundaria) para entender criterios de elegibilidad. Difundir entre empresas ANDI la existencia de esta taxonomía y líneas de crédito potenciales.,Área de alianzas financieras / Coordinación de proyectos,5,1,4,"El proyecto de asistencia técnica parece haber sido ejecutado (documento de 2024). Sin embargo, la taxonomía y las líneas de crédito pueden estar activas ahora en los bancos participantes. Se requiere verificar con Bancóldex y BID Invest si hay convocatorias o ventanas de financiamiento vigentes derivadas de este proyecto. La información es robusta y oficial (fuentes BID, BASE). | Fuente fuera del listado oficial conocido (energy-base.org): verificar oficialidad",e42e665bd3dba8ff,2026-05-29
VC-0013,2026-05-29,IFC Regional Initiative for Industrial Plastic Circularity in Latin America and the Caribbean,International Finance Corporation (IFC),Banca multilateral,Estados Unidos (Grupo Banco Mundial),"América Latina y el Caribe, con foco específico en Brasil",Economía circular,"Plásticos industriales, reducción de uso de plásticos vírgenes de base fósil, reciclaje de plásticos",Asistencia técnica; Cooperación técnica; Investigación aplicada; Escalamiento; Financiamiento climático,No especificado,No especificado,No especificado,2026-01,No especificado,Requiere verificación manual,Requiere verificación,https://www.ifc.org/en/pressroom/2026/ifc-launches-regional-initiative-to-accelerate-investment-ready-industrial-plastic,https://rainbowforest.org/bfs/ifc-bfs-plastic-circularity-latin-america-2026,"Iniciativa regional del IFC implementada por BlackForest Solutions en alianza con ABIPLAST (asociación brasileña de plásticos) para acelerar la circularidad industrial de plásticos en América Latina y el Caribe. Ayuda a empresas a medir huellas de plástico, diseñar hojas de ruta de reducción y construir proyectos de economía circular listos para inversión. Incluye fases de mapeo, desarrollo de línea base, apoyo a nivel empresa y generación de oportunidades de inversión.","Directamente alineada con Visión Circular: aborda cierre de ciclo de envases y empaques plásticos, economía circular industrial, modelos de negocio circulares y articulación con empresas y gremios. La ANDI puede participar como gremio articulador y sus empresas asociadas como beneficiarias directas.",Medición de huella de plásticos en empresas asociadas ANDI; Desarrollo de roadmaps de reducción de plásticos vírgenes fósiles; Diseño de proyectos de reciclaje industrial listos para inversión; Pilotos de circularidad en sectores de envases y empaques; Articulación con ABIPLAST para transferencia de mejores prácticas; Desarrollo de casos de inversión para infraestructura de reciclaje.,"Empresas usuarias de plásticos, convertidores y actores clave de la cadena de valor de plásticos en América Latina. Se requiere compromiso para cuantificar huellas de plástico y priorizar palancas de reducción factibles.",No especificado,ABIPLAST (Brasil); empresas transformadoras de plásticos asociadas ANDI; gremios sectoriales de envases/empaques; centros tecnológicos; empresas recicladoras; BlackForest Solutions como implementador técnico.,"Iniciativa recién lanzada (2026), detalles de elegibilidad específica aún en desarrollo. Foco inicial parece estar en Brasil vía ABIPLAST, aunque es regional. Puede requerir capacidad técnica para medición de huellas de plástico.",Contactar inmediatamente a IFC y BlackForest Solutions para confirmar elegibilidad de empresas colombianas y la ANDI como gremio. Explorar posibilidad de replicar el modelo ABIPLAST con la ANDI como articulador en Colombia.,Establecer contacto directo con IFC Colombia y BlackForest Solutions para reunión exploratoria sobre participación de empresas colombianas. Identificar 3-5 empresas asociadas ANDI líderes en plásticos/envases para postular como casos piloto.,Coordinación de proyectos Visión Circular / Gerencia de Sostenibilidad ANDI / Área de Alianzas Internacionales,5,1,4,"Iniciativa muy reciente (lanzamiento anunciado 2026). Las fuentes confirman que está en fase de mapeo y desarrollo de línea base. La implementación con ABIPLAST en Brasil es clara, pero la extensión a otros países LAC requiere verificación. Es una oportunidad estratégica de alto valor por ser IFC (financiamiento potencial significativo) y por alineación total con Visión Circular.",7481940b25048f37,2026-05-29
VC-0014,2026-05-29,Climate and Clean Air Coalition (CCAC) - Latin America Reducing Methane Emissions from Organic Waste Project,Climate and Clean Air Coalition (CCAC),Plataforma,Internacional (multi-stakeholder),América Latina y el Caribe,Residuos,"Emisiones de metano, gestión de residuos orgánicos, compostaje, digestión anaeróbica, prevención de pérdida de alimentos",Cooperación técnica; Asistencia técnica; Piloto demostrativo; Fortalecimiento institucional,No especificado,No especificado,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://www.ccacoalition.org/projects/latin-america-reducing-methane-emissions-organic-waste,No especificado,"Proyecto regional del CCAC para reducir emisiones de metano del sector residuos en América Latina y el Caribe. Busca establecer una ruta clara para lograr 30% de mitigación de metano en residuos para 2030. Incluye iniciativas de minimización de pérdida de alimentos, proyectos de captura de gas de rellenos sanitarios, y valorización de residuos orgánicos (compostaje, digestión anaeróbica). Apoya desarrollo de pipeline de proyectos, regeneración de suelos y reducción de consumo de alimentos.","Relevante para Visión Circular en la dimensión de gestión de residuos, cierre de ciclo de materiales orgánicos y economía circular territorial. Puede complementar trabajo en envases/empaques con enfoque en residuos orgánicos y cambio climático (NDC). Articulación potencial con empresas de alimentos/bebidas asociadas ANDI.","Proyectos de valorización de residuos orgánicos en empresas ANDI (compostaje industrial, biodigestión); Pilotos de reducción de pérdida de alimentos en cadenas de valor; Articulación con municipios para gestión sostenible de residuos orgánicos; Desarrollo de proyectos de captura de metano; Integración de residuos orgánicos en estrategias de economía circular territorial; Contribución a NDCs de Colombia en sector residuos.","No especificado. Parece ser cooperación técnica directa a gobiernos locales y nacionales, potencialmente abierto a colaboración con sector privado y gremios.",No especificado,Ministerio de Ambiente y Desarrollo Sostenible; municipios; empresas de alimentos y bebidas; operadores de rellenos sanitarios; cooperativas de recicladores; universidades; centros de investigación en agricultura/suelos.,Información limitada sobre mecanismo de acceso y ventanas de aplicación. No hay detalles sobre financiamiento específico disponible. Puede ser más cooperación técnica que grants directos.,"Contactar CCAC para explorar sinergias entre Visión Circular y este proyecto regional. Identificar puntos de entrada para ANDI (vía empresas de alimentos, articulación con autoridades locales). Verificar si hay oportunidades de cofinanciamiento para pilotos demostrativos.",Consultar con CCAC sobre estado actual del proyecto y mecanismos de participación para Colombia. Revisar si Colombia ya participa formalmente y quién es el punto focal nacional.,Coordinación técnica Visión Circular / Área de Cambio Climático ANDI,3,1,3,"Oportunidad de cooperación técnica regional más que financiamiento directo. No hay convocatoria activa identificada, pero es un proyecto en curso. La pertinencia es indirecta (residuos orgánicos vs. foco principal de Visión Circular en envases/empaques), pero puede fortalecer visión integral de economía circular. | Fuente fuera del listado oficial conocido (ccacoalition.org): verificar oficialidad",a5b0228b1021baaf,2026-05-29
VC-0015,2026-05-29,Too Good to Waste - Inter-American Development Bank (IDB),Inter-American Development Bank (IDB/BID),Banca multilateral,Estados Unidos (regional LAC),América Latina y el Caribe,Residuos,"Gestión de residuos, economía circular, reducción de metano, resiliencia climática, gestión de residuos sólidos municipales",Financiamiento concesional; Asistencia técnica; Cooperación técnica; Piloto demostrativo; Fortalecimiento institucional,No especificado,No especificado,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://www.iadb.org/en/who-we-are/topics/water-and-sanitation/initiatives/too-good-waste,No especificado,"Iniciativa del BID para mejorar gestión de residuos en América Latina y el Caribe, avanzar hacia economía circular competitiva, construir resiliencia sectorial ante eventos climáticos extremos y reducir emisiones de metano. Busca transicionar del modelo lineal (extracción-consumo-disposición) a modelos circulares que minimicen residuos y maximicen uso de recursos. Apoya disponibilidad y gestión sostenible de servicios de agua, saneamiento y residuos sólidos.","Altamente relevante por su enfoque integral en economía circular, gestión de residuos y transición del modelo lineal. Complementa bien el trabajo de Visión Circular en cierre de ciclo, aunque su alcance es más amplio (incluye agua y saneamiento). Oportunidad para articular proyectos de infraestructura circular y modelos de negocio con financiamiento multilateral.",Infraestructura de reciclaje y valorización de envases/empaques; Proyectos de economía circular territorial con municipios; Modelos de negocio circulares para sector privado; Pilotos de reducción de metano en gestión de residuos; Fortalecimiento de cadenas de valor de reciclaje; Proyectos de resiliencia climática en gestión de residuos; Articulación público-privada para infraestructura circular.,"No especificado. Probablemente requiere ser proyecto respaldado por gobierno nacional o local, con participación de sector privado vía esquemas de cofinanciamiento o alianzas público-privadas.",No especificado,Ministerio de Ambiente; DNP; Ministerio de Vivienda; municipios; empresas de servicios públicos de aseo; empresas productoras ANDI; universidades; cooperativas de recicladores; autoridades ambientales regionales.,"No hay convocatoria activa identificada. Es una iniciativa marco del BID que puede canalizar financiamiento a proyectos específicos, pero no es un fondo abierto. Requiere articulación con gobierno para acceso a recursos.",Explorar con BID Colombia mecanismos para desarrollar proyectos bajo este marco. Identificar alineación con operaciones activas del BID en Colombia en agua y saneamiento. Proponer proyectos pilotos de economía circular que articulen gobierno-empresas-recicladores.,Reunión con representación BID Colombia para entender pipeline de proyectos y puntos de entrada para Visión Circular. Revisar operaciones BID activas en Colombia en sector agua/residuos.,Gerencia Visión Circular / Área de Alianzas Institucionales ANDI,4,1,3,"Iniciativa marco estratégica del BID, no convocatoria abierta directa. El acceso a financiamiento requiere probablemente articulación vía gobierno nacional o proyectos estructurados como préstamos/cooperaciones técnicas con entidades públicas. Sector privado participaría vía cofinanciamiento o como ejecutor. Es más una ventana de oportunidad que un grant directo.",b89f2137c86fc7bc,2026-05-29
VC-0016,2026-05-29,IKI Country Call Colombia 2024,International Climate Initiative (IKI) - Ministerio Federal de Medio Ambiente de Alemania,Cooperación bilateral,Alemania,Colombia (con apoyo político del gobierno colombiano),Clima,"Cambio climático, biodiversidad, economía circular (posible)",Grant no reembolsable; Cooperación técnica,No especificado,EUR,No especificado,2024-07-18,No especificado,Requiere verificación manual,Requiere verificación,https://www.international-climate-initiative.com/fileadmin/iki/Dokumente/Calls/Laendercall/Kolumbien2024/240718_IKI_country_call_COL_funding_announcement_bf.pdf,No especificado,Convocatoria específica de IKI para Colombia con tres prioridades temáticas. Se seleccionarán tres proyectos (uno por prioridad temática) en consulta estrecha con ministerios colombianos. Procedimiento en dos fases: selección de outlines y desarrollo posterior de propuestas completas.,"Alineación directa si las prioridades temáticas incluyen economía circular, residuos, o sostenibilidad. IKI tradicionalmente apoya proyectos de biodiversidad, clima y uso sostenible de recursos naturales, pertinentes para Visión Circular.",Economía circular territorial; modelos de negocio circulares; cierre de ciclo de envases plásticos; articulación público-privada para gestión de residuos; inclusión de recicladores en cadenas de valor climáticas.,Apoyo político del ministerio colombiano competente; alineación con una de las tres prioridades temáticas; capacidad de implementación en Colombia; cumplimiento de requisitos de gestión de fondos alemanes.,Project outline (primera fase); propuesta completa (segunda fase); carta de apoyo del ministerio colombiano; presupuesto; plan de trabajo; No especificado en detalle.,Ministerio de Ambiente y Desarrollo Sostenible de Colombia; empresas asociadas a ANDI; universidades colombianas; centros tecnológicos; cooperación alemana GIZ.,Competencia alta; requiere apoyo político formal del gobierno colombiano; procedimiento en dos fases con selección intermedia; las prioridades temáticas específicas no están detalladas en el documento disponible.,Verificar con urgencia las tres prioridades temáticas de la convocatoria y ventanas de cierre. Contactar al punto focal de IKI en Colombia y a los ministerios pertinentes para confirmar alineación y obtener carta de apoyo político.,"Contactar a ZUG gGmbH (gestora de IKI) y al Ministerio de Ambiente colombiano para confirmar prioridades temáticas, elegibilidad de proyectos de economía circular y plazos vigentes.",Coordinación de proyectos; Alianzas estratégicas con gobierno,4,1,3,Documento fechado julio 2024. No se confirma si convocatoria sigue abierta en mayo 2025. Prioridades temáticas no detalladas en extracto disponible. Requiere verificación urgente de vigencia y alineación temática. | Fuente fuera del listado oficial conocido (international-climate-initiative.com): verificar oficialidad,0fd53683d5f3be57,2026-05-29
VC-0017,2026-05-29,GCF Readiness and Preparatory Support Programme,Green Climate Fund (GCF),Fondo climático,Internacional (Corea del Sur sede),Colombia y todos los países en desarrollo miembros de UNFCCC,Clima,Financiamiento climático; preparación de proyectos; fortalecimiento institucional; economía circular y residuos (bajo mitigación y adaptación),Asistencia técnica; Fortalecimiento institucional; Cooperación técnica,Hasta USD 3 millones por país (según modalidad),USD,No,Abierta permanentemente,Abierta permanentemente,Activa,Baja,https://www.greenclimate.fund/readiness,https://www.greenclimate.fund/countries/colombia,"Programa permanente del GCF para fortalecer capacidades nacionales en acceso a financiamiento climático, desarrollo de propuestas, fortalecimiento de entidades acreditadas, estrategias nacionales y programas país. Colombia es país elegible con NDA activa (actualizada marzo 2026 según documento).","Altamente relevante para preparar proyectos de economía circular vinculados a mitigación (reducción de emisiones en gestión de residuos, reciclaje) y adaptación. Permite desarrollar propuestas GCF para financiar pilotos, infraestructura circular e inclusión de recicladores.",Desarrollo de propuesta GCF para economía circular de envases; fortalecimiento de capacidades de recicladores; infraestructura de reciclaje y clasificación; programas REP; ecodiseño; pilotos de modelos de negocio circulares; articulación territorial.,Solicitud a través del NDA (National Designated Authority) de Colombia; alineación con NDC y estrategias nacionales; presentación por entidad acreditada o delivery partner; coherencia con prioridades GCF.,Propuesta de readiness según template oficial GCF; carta de no objeción del NDA; presupuesto; plan de trabajo; marco lógico; plan de género.,Ministerio de Ambiente de Colombia (NDA); UNDP Colombia; entidades acreditadas GCF en Colombia; CAF; Banco Mundial; empresas ANDI; universidades.,"Proceso puede ser largo (revisión por secretaría GCF); requiere coordinación con NDA colombiano; limitado a preparación de proyectos, no financia implementación directa a gran escala.","Contactar NDA de Colombia (Ministerio de Ambiente) para expresar interés en desarrollar propuesta de readiness enfocada en economía circular de envases y empaques, y eventual propuesta completa GCF.","Reunión con punto focal NDA Colombia; revisión de país programme de Colombia en GCF; identificación de entidad delivery partner (UNDP, CAF u otra acreditada).",Coordinación de proyectos; Alianzas con gobierno,4,1,4,"Programa permanente, sin cierre. Página de Colombia actualizada con documentos recientes (2025-2026). Economía circular y residuos pueden enmarcarse bajo mitigación climática y desarrollo sostenible. Colombia cuenta con proyectos GCF aprobados (ej. Amazonia Viva FP284, nov 2025).",5f67084d0840297e,2026-05-29
VC-0018,2026-05-29,IDB Lab Capital Funds - Venture Capital for Latin America and the Caribbean,IDB Lab (Banco Interamericano de Desarrollo),Banca multilateral,Estados Unidos (sede BID),América Latina y el Caribe,Innovación,Emprendimiento; financiamiento de startups; economía circular; sostenibilidad; tecnología climática,Financiamiento concesional; Aceleración; Escalamiento,No especificado (inversión equity en fondos de venture capital),USD,Sí (fondos VC requieren coinversión),Próximamente,No especificado,Requiere verificación manual,Requiere verificación,https://www.iadb.org/en/how-we-can-work-together/calls-proposals,https://bidlab.org/en/projects,"IDB Lab anuncia convocatoria próxima para gestoras de fondos de venture capital que busquen inversión equity de IDB Lab en fondos enfocados en América Latina y Caribe. Orientado a innovación, impacto social y ambiental, incluyendo tecnologías verdes y economía circular.","Relevante para escalar startups de economía circular, tecnologías de reciclaje, innovación en envases sostenibles, plataformas digitales de reciclaje, modelos de negocio circulares con potencial de crecimiento y atracción de capital.",Inversión en fondos VC que apoyen startups de economía circular; tecnologías de reciclaje avanzado; plásticos alternativos; plataformas de logística inversa; ecodiseño; inclusión digital de recicladores.,Gestoras de fondos de inversión (investment management firms); enfoque en LAC; estrategia de impacto social/ambiental; coinversión; track record en VC.,"No especificado (típicamente: pitch deck, estrategia de fondo, equipo gestor, pipeline, modelo financiero)",Gestoras de VC en Colombia y región; startups de economía circular; aceleradoras; fondos de impacto; empresas ANDI interesadas en corporate venture.,"Dirigido a gestoras de fondos VC, no directamente a proyectos operativos de ANDI; requiere estructura de fondo de inversión; plazos y términos aún no publicados.",Monitorear apertura de convocatoria en portal IDB Lab. Explorar alianza con gestoras de VC colombianas o regionales interesadas en economía circular para presentar fondos temáticos.,Suscribirse a alertas de IDB Lab; contactar unidad de VC de IDB Lab para expresar interés y conocer cronograma; mapear gestoras VC en Colombia especializadas en sostenibilidad.,Alianzas estratégicas; Innovación y nuevos negocios,3,1,2,"Convocatoria aún no abierta formalmente (dice 'will open soon'). Modalidad indirecta (inversión en fondos, no en proyectos). Requiere intermediación de gestora VC. Pertinencia media pues no financia directamente programas de Visión Circular sino fondos que podrían invertir en startups del sector.",319f11b6246c3006,2026-05-29
VC-0019,2026-05-29,GEF Small Grants Programme (SGP) - Operational Phase 8,Global Environment Facility (GEF) - implementado por UNDP,Fondo ambiental,Internacional (Estados Unidos sede),Colombia y países participantes en GEF SGP (incluyendo varios de LAC),Economía circular,Biodiversidad; Cambio climático; Degradación de tierras; Aguas internacionales; Químicos y residuos,Grant no reembolsable; Piloto demostrativo; Innovación; Inclusión social,"Hasta USD 15,000 por proyecto (organizaciones comunitarias); hasta USD 35,000 (organizaciones con experiencia)",USD,No especificado (generalmente se valora),Abierta (según país; Colombia históricamente activa),Variable según ventana país,Requiere verificación manual,Requiere verificación,https://www.thegef.org/newsroom/news/gef-small-grants-programme-launched-colombia,https://co.chm-cbd.net/en/gef-projects,"Programa de pequeñas donaciones del GEF que financia proyectos comunitarios de base en biodiversidad, cambio climático, degradación de tierras, aguas y químicos/residuos. Colombia es país activo con SGP implementado desde 2015. Grants de hasta USD 15,000-35,000 para organizaciones locales.","Alta pertinencia para proyectos de reciclaje comunitario, inclusión de recicladores de base, gestión de residuos sólidos, economía circular territorial, reducción de plásticos, compostaje, manejo de químicos y residuos peligrosos.",Inclusión y fortalecimiento de organizaciones de recicladores; pilotos comunitarios de reciclaje de plásticos flexibles; compostaje comunitario; reducción de residuos en territorios; sensibilización en economía circular; manejo de residuos peligrosos; articulación recicladores-empresas.,"Organizaciones de la sociedad civil, organizaciones comunitarias, fundaciones, instituciones académicas locales registradas en Colombia; enfoque comunitario de base; alineación con áreas focales GEF; cobeneficio ambiental y social.",Propuesta de proyecto según template GEF SGP; presupuesto detallado; carta de apoyo comunitaria; indicadores de impacto ambiental y social; plan de género (recomendado).,Organizaciones de recicladores de base; cooperativas de recicladores; ONGs ambientales locales; JAC (Juntas de Acción Comunal); universidades regionales; gobiernos locales.,"Montos pequeños (limitados para proyectos de gran escala); proceso competitivo; requiere organización comunitaria como aplicante (ANDI/Visión Circular no puede aplicar directamente, debe hacerlo una organización comunitaria).",Identificar organizaciones de recicladores de base aliadas de Visión Circular que puedan aplicar al SGP con acompañamiento técnico de ANDI/PROJECTABILITY. Cofinanciar o apoyar técnicamente su aplicación.,Contactar coordinador nacional GEF SGP Colombia (implementado por UNDP Colombia); mapear organizaciones de recicladores elegibles; desarrollar ideas de proyecto conjunto.,Coordinación de inclusión social; Alianzas con recicladores,5,1,4,Programa activo en Colombia desde 2015. Fase 8 operativa. Ventanas de aplicación pueden variar; requiere verificación de convocatoria abierta en Colombia en 2025. Alta pertinencia para componente de inclusión de recicladores de Visión Circular.,49e199e943360ff2,2026-05-29
VC-0020,2026-05-29,UK PACT Colombia - Green Finance Call for Proposals,UK PACT (Gobierno del Reino Unido - FCDO y DESNZ),Cooperación bilateral,Reino Unido,Colombia,Clima,Finanzas verdes; financiamiento sostenible; transición climática,Grant no reembolsable; Asistencia técnica; Fortalecimiento institucional,No especificado,GBP,No especificado,10 de octubre de 2024,15 de noviembre de 2024 (EOI),Activa,Baja,https://www.ukpact.co.uk/news/uk-pact-call-for-proposals-colombia-green-finance,No especificado,Convocatoria de UK PACT Colombia en finanzas verdes bajo la Alianza UK-Colombia para el Crecimiento Sostenible. Expresiones de interés (EOI) con cierre 15 noviembre 2024. Fecha ya pasada.,"Alta pertinencia temática (finanzas verdes pueden incluir financiamiento de economía circular), pero convocatoria cerrada desde noviembre 2024.",N/A (convocatoria cerrada),N/A (convocatoria cerrada),N/A (convocatoria cerrada),N/A (convocatoria cerrada). Posible contacto con UK PACT Colombia para futuras convocatorias.,N/A (convocatoria cerrada),Monitorear UK PACT Colombia para nuevas convocatorias en 2025-2026. Contactar UK PACT Colombia para expresar interés en economía circular para próximas oportunidades.,Suscribirse a alertas de UK PACT; contactar oficina UK PACT Colombia para conocer pipeline de convocatorias 2025.,Coordinación de proyectos,4,1,1,Convocatoria cerrada desde noviembre 2024. Incluida como referencia de cooperación bilateral activa en Colombia con potencial de futuras convocatorias.,25a1ddcd60b7f26c,2026-05-29
