ID,Fecha de detección,Nombre de la oportunidad,Entidad financiadora,Tipo de entidad,País / región de la entidad,Países elegibles,Sector o tema principal,Subtema,Tipo de apoyo,Monto disponible,Moneda,Cofinanciación requerida,Fecha de apertura,Fecha de cierre,Estado,Nivel de urgencia,URL oficial,URL secundaria,Resumen ejecutivo,Pertinencia para Visión Circular ANDI,Posibles líneas de proyecto aplicables,Requisitos principales,Documentos requeridos,Aliados potenciales,Riesgos o restricciones,Recomendación de acción,Próximo paso sugerido,Responsable sugerido,Score de pertinencia (1-5),Score de urgencia (1-5),Score de probabilidad de aplicación (1-5),Observaciones,Hash o clave para evitar duplicados,Fecha de última revisión
VC-0023,2026-05-29,Global Innovation Fund - Convocatoria abierta (rolling basis),Global Innovation Fund (GIF),Fondo de inversión sin fines de lucro multilateral,"Reino Unido (sede en Londres, opera globalmente)",Países de ingresos bajos y medios (Colombia elegible),Innovación social con impacto en poblaciones de bajos ingresos,"Múltiples sectores incluyendo medio ambiente, reciclaje, economía circular, reducción de residuos, innovación sostenible",Grant no reembolsable; Financiamiento concesional; Innovación; Piloto demostrativo; Escalamiento,"Variables según etapa: pilotos, transición, escala. Ejemplo: USD 1.8M mencionado para proyectos en portafolio.",USD,"Depende de etapa y proyecto; GIF usa grants, equity, deuda según necesidad",Ventana abierta permanente (rolling basis),Última ventana cerró 15 enero 2025; próxima ventana por anunciarse,Requiere verificación manual,Requiere verificación,https://www.globalinnovation.fund/apply-for-funding,https://www.globalinnovation.fund,"GIF financia innovaciones escalables que mejoran vidas en países de ingresos bajos y medios. Ofrece capital flexible (grants, equity, deuda) en múltiples etapas (piloto, transición, escala). Proceso de aplicación simplificado, revisión continua. Ha financiado proyectos de reciclaje (ej. Mr. Green Africa en Kenya) y economía circular.","Pertinente para innovaciones circulares con impacto social: reciclaje inclusivo, tecnologías de reciclaje, reducción de residuos alimentarios, soluciones de packaging sostenible, modelos de negocio circulares que benefician poblaciones vulnerables (recicladores de base).",Pilotos de tecnologías de reciclaje de plásticos flexibles con inclusión social; escalamiento de modelos de negocio circular con recicladores; innovación en logística reversa para REP; soluciones de ecodiseño con impacto en comunidades; plataformas digitales para formalización de recicladores.,Innovación con potencial de escala; evidencia de impacto en poblaciones de bajos ingresos; modelo de negocio sostenible o ruta a sostenibilidad; medición rigurosa de impacto; aplicable a países de ingresos bajos/medios.,"Formulario de aplicación simplificado (disponible en sitio web); descripción de innovación, teoría de cambio, evidencia de impacto, equipo, presupuesto; documentos específicos según etapa de due diligence.","Cooperativas de recicladores, empresas sociales de reciclaje, startups de tecnología circular, universidades (para medición de impacto), redes regionales (Latitud R), empresas privadas (para escalamiento).","Última ventana cerró 15 ene 2025; próxima convocatoria no anunciada aún. Alta competencia global. Enfoque principal en innovaciones tempranas/medias, no grandes programas institucionales. Requiere fuerte componente de impacto en pobreza/bajos ingresos.","Monitorear anuncio de próxima convocatoria (revisar sitio mensualmente). Identificar innovaciones específicas en portafolio Visión Circular con potencial de escala y fuerte impacto social (reciclaje inclusivo, tecnologías piloto). Preparar casos de estudio de innovaciones existentes.",Suscribirse a alertas de GIF; revisar guías de aplicación detalladas; mapear 2-3 proyectos piloto de Visión Circular con potencial de escalamiento y fuerte componente de inclusión social; preparar concept notes preliminares.,Coordinación de Innovación y Nuevos Negocios / Alianzas Estratégicas,4,1,3,"Ventana abierta permanente pero última cerró recientemente (15 ene 2025), próxima fecha no confirmada. GIF tiene portafolio en reciclaje (ej. Mr Green Africa) lo que valida pertinencia. Requiere foco en innovación específica escalable, no programas amplios. Colombia elegible como país de ingreso medio. Aplicación simplificada facilita participación.",55b27fc923a8b22a,2026-05-29
VC-0024,2026-06-01,Convocatoria Visión Circular 2025-2026 - ANDI,ANDI (Asociación Nacional de Empresarios de Colombia) / Programa Visión Circular,Gremio,Colombia,Colombia,Economía circular,"Reciclaje, envases y empaques, plásticos flexibles, PET, residuos posconsumo, transformación de materiales",Cofinanciación; Piloto demostrativo; Investigación aplicada,Aproximadamente 248-250 millones de pesos por proyecto (ejemplos documentados),COP,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://www.andi.com.co/Uploads/Conv.%20Visi%C3%B3n%20Circular%202025-2026.pdf,No especificado,"Convocatoria de ANDI para financiar proyectos piloto de economía circular en Colombia que permitan recuperar, transformar y reincorporar residuos de envases y empaques (especialmente PET y plásticos posconsumo) en nuevos productos. Incluye casos como el de Plastilene (recuperación de bandejas PET clamshell) y Pontificia Universidad Javeriana (materiales constructivos con plásticos posconsumo). Ejemplos documentados muestran montos cercanos a 249 millones de pesos por proyecto.","Es una convocatoria directa del programa Visión Circular de la ANDI, totalmente alineada con sus objetivos de reciclaje, recuperación de plásticos flexibles y envases, innovación en materiales circulares e integración de actores de la cadena de valor.",Modelos operativos de recuperación y reciclaje de bandejas PET y clamshell; desarrollo de materiales constructivos con plásticos posconsumo; validación técnica de procesos de transformación; integración de recicladores y actores de cadena de valor,No especificado en el extracto,No especificado en el extracto,"Universidades (caso Javeriana), empresas transformadoras de plásticos (caso Plastilene), asociaciones de recicladores, cadena de valor de envases","Falta claridad sobre fechas de cierre y apertura de próximas convocatorias; documento parece mostrar proyectos aprobados, se requiere confirmar si hay nuevas ventanas abiertas en 2026",Contactar directamente con Visión Circular ANDI para confirmar si hay convocatoria activa en 2026 y conocer términos de referencia completos.,Solicitar TdR actualizados a contacto Visión Circular (info en www.andi.com.co); revisar elegibilidad de proyectos en cartera de Visión Circular para postular,Coordinación de proyectos Visión Circular ANDI,5,1,5,"El documento muestra proyectos ya aprobados con códigos PI35, PI29, montos específicos. Es necesario confirmar si la convocatoria 2025-2026 sigue abierta o si habrá nuevas ventanas. | Fuente fuera del listado oficial conocido (andi.com.co): verificar oficialidad",34dd561cb48a5444,2026-06-01
VC-0025,2026-06-01,CircularEconomy4Colombia Innovation Challenge 2024,AgriTech Challenge,Plataforma,No especificado,Colombia,Economía circular,"Gestión de residuos, sector agroalimentario, conservación ambiental, reducción de deforestación",Aceleración; Asistencia técnica; Financiamiento; Premio o challenge,No especificado,No especificado,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://agritechchallenge.org/es/projects/circulareconomy-4colombia,No especificado,"Desafío de innovación para soluciones circulares en el sector agroalimentario de Colombia. Ofrece acceso a mentores expertos, capacitación en negocios, oportunidades de financiamiento y red de líderes de la industria e inversores. Alineado con el Plan Nacional de Desarrollo 2022-2026 y objetivos de la COP 16 Colombia.","Enfocado en economía circular y gestión de residuos en el sector agroalimentario, con oportunidad de aplicar principios circulares a empaques agroalimentarios, reciclaje de envases del sector y reducción de residuos.",Reciclaje de empaques del sector agroalimentario; tecnologías de valorización de residuos orgánicos; envases compostables o reutilizables para alimentos; modelos de retorno de envases,No especificado,No especificado,"Empresas del sector agroalimentario, gremios como SAC, universidades con áreas agroindustriales, cooperativas de recicladores",La convocatoria parece haber sido lanzada en 2024; no está claro si sigue abierta en 2026 o si habrá una nueva edición.,Contactar a AgriTech Challenge para verificar si hay edición 2026 activa o próxima a lanzarse.,Visitar el sitio web oficial y contactar vía formulario o email (info disponible en el sitio) para confirmar vigencia y próximas convocatorias,Coordinación de alianzas empresariales,3,1,3,"El título menciona 2024, lo que genera incertidumbre sobre vigencia actual. El enfoque agroalimentario es relevante para envases, pero menos central que plásticos flexibles urbanos. | Fuente fuera del listado oficial conocido (agritechchallenge.org): verificar oficialidad",c75ab3c2ad8e4ed8,2026-06-01
VC-0026,2026-06-01,Convocatoria Fundación AlEn 2026,Fundación AlEn,Fundación,No especificado,No especificado,Economía circular,"Desarrollo comunitario, reciclaje, protección ambiental",Grant no reembolsable,No especificado,No especificado,No especificado,No especificado,2026-03-25,Requiere verificación manual,Requiere verificación,No especificado,https://www.asocapitales.co/sites/default/files/files/technical_documents/boletin-cooperacion-internacional-marzo-2026-2.pdf,"Grant para proyectos de desarrollo comunitario, reciclaje y protección ambiental. Dirigido a organizaciones civiles y gestores locales de sostenibilidad. Ofrece recursos económicos para ejecución de proyectos de impacto ambiental. Fecha límite: 25 de marzo de 2026.","Directamente alineado con reciclaje y protección ambiental. Aplicable a proyectos comunitarios de reciclaje inclusivo, fortalecimiento de recicladores de base, o pilotos de gestión circular territorial.",Fortalecimiento de organizaciones de recicladores; proyectos comunitarios de reciclaje; educación ambiental y separación en la fuente; infraestructura para economía circular territorial,Organizaciones civiles y gestores locales de sostenibilidad,No especificado,"Asociaciones de recicladores, organizaciones comunitarias, alcaldías locales, universidades con extensión comunitaria",No se especifica URL oficial ni monto disponible; falta información sobre elegibilidad geográfica y requisitos detallados,Buscar información oficial en sitio web de Fundación AlEn o contactar a Asocapitales para obtener términos de referencia completos.,Investigar sitio web de Fundación AlEn; contactar a Asocapitales (info@asocapitales.co) para TdR; evaluar elegibilidad para Colombia,Coordinación de inclusión social / alianzas con recicladores,4,1,3,Fuente secundaria (boletín de Asocapitales). No hay URL oficial de la convocatoria ni confirmación de elegibilidad para Colombia. Fecha de cierre cercana (25 marzo 2026). | Fuente fuera del listado oficial conocido (asocapitales.co): verificar oficialidad,4b69b2552677574d,2026-06-01
VC-0027,2026-06-01,Google.org - Financiación para proyectos con Inteligencia Artificial,Google.org,Fundación,Estados Unidos,Global (incluye Colombia y América Latina),Innovación,Inteligencia artificial aplicada a problemas científicos y sociales,Grant no reembolsable; Asistencia técnica,No especificado (fondos globales),No especificado,No especificado,No especificado,2026-04-17,Requiere verificación manual,Requiere verificación,No especificado,https://www.asocapitales.co/sites/default/files/files/technical_documents/boletin-cooperacion-internacional-marzo-2026-2.pdf,"Grant y asistencia técnica de Google.org para proyectos que usen inteligencia artificial para resolver problemas científicos y sociales. Dirigido a universidades, ONGs y entidades del Estado con áreas de innovación. Incluye fondos globales y acompañamiento de expertos de Google. Cierre: 17 de abril de 2026.","Aplicable si se desarrollan proyectos que usen IA para optimizar procesos de reciclaje, trazabilidad de materiales, clasificación automatizada de residuos, ecodiseño predictivo o mejora de cadenas circulares.",IA para clasificación automatizada de residuos plásticos; sistemas de trazabilidad blockchain+IA para envases; plataformas de ecodiseño asistidas por IA; optimización de rutas de recolección con machine learning,"Universidades, ONGs y entidades del Estado con áreas de innovación",No especificado,"Universidades con centros de IA (Andes, Nacional, Javeriana), centros de investigación tecnológica, empresas tech, entidades públicas de innovación",Altamente competitivo a nivel global; requiere capacidad técnica avanzada en IA; no está claro si hay priorización regional,Evaluar si hay proyectos en cartera de Visión Circular con componente de IA que puedan ser postulados; explorar alianzas con universidades y centros de investigación.,Buscar URL oficial de convocatoria Google.org; contactar área de innovación de universidades aliadas; revisar si hay sesiones informativas,Coordinación de innovación / alianzas con universidades,3,1,2,Fuente secundaria (boletín Asocapitales). Relevancia indirecta para Visión Circular (requiere enfoque en IA). Alta competitividad global. Fecha de cierre próxima (17 abril 2026). | Fuente fuera del listado oficial conocido (asocapitales.co): verificar oficialidad,43e1da2484895a5c,2026-06-01
VC-0028,2026-06-01,Programa de innovación para la circularidad de los plásticos en América Latina 2025 - WRAP,"WRAP (The Waste and Resources Action Programme) / Pacto por los Plásticos Colombia, Chile y México",ONG,Reino Unido,"Colombia, Chile, México",Economía circular,"Plásticos flexibles, reciclaje, sachets, empaques multilaminados, etiquetas, bolsas plásticas",Grant no reembolsable; Aceleración; Asistencia técnica; Fortalecimiento institucional,Hasta USD 10.000 por solución seleccionada,USD,No especificado,Noviembre de 2025,No especificado,Requiere verificación manual,Requiere verificación,https://www.pactoglobal-colombia.org/news/convocatoria-regional-otorgara-hasta-usd-10-000-a-soluciones-innovadoras-en-plasticos-en-colombia-chile-y-mexico.html,No especificado,"Programa desarrollado por WRAP en alianza con Pacto por los Plásticos de Colombia, Chile y México. Busca apoyar hasta 10 soluciones innovadoras que prevengan la contaminación por plásticos, con énfasis en plásticos flexibles (sachets, empaques multilaminados, etiquetas, bolsas). Ofrece hasta USD 10.000 por solución seleccionada, más apoyo técnico de WRAP y la Red Global de Pactos por los Plásticos. Convocatoria lanzada en noviembre de 2025.","Altamente alineado con Visión Circular: enfoque específico en plásticos flexibles (uno de los principales desafíos del programa), soluciones innovadoras de reciclaje, prevención de contaminación y circularidad de envases y empaques.",Tecnologías de reciclaje de plásticos flexibles; soluciones de recolección de sachets y multilaminados; alternativas de diseño para envases flexibles reciclables; modelos de negocio para circularidad de empaques flexibles,No especificado en la fuente (ver URL oficial),No especificado en la fuente (ver URL oficial),"Pacto Global Red Colombia, Pacto por los Plásticos Colombia, empresas de envases flexibles, transformadores de plástico, recicladores especializados, universidades",El monto de USD 10.000 es relativamente bajo para pilotos de gran escala; se requiere verificar si la convocatoria aún está abierta (anuncio de noviembre 2025),Verificar urgentemente si la convocatoria sigue abierta; contactar a Pacto Global Red Colombia para obtener TdR; identificar soluciones innovadoras en plásticos flexibles de empresas de Visión Circular.,"Contactar a Pacto Global Red Colombia (info@pactoglobal-colombia.org, tel. 601 636 3638); revisar formulario de aplicación en enlace oficial; preparar ficha de proyecto",Coordinación de proyectos / área de envases y empaques,5,1,5,"Convocatoria altamente relevante y alineada. Anunciada en noviembre de 2025, pero no se especifica fecha de cierre. Requiere verificación urgente de vigencia. Monto limitado pero con alto valor de acompañamiento técnico. | Fuente fuera del listado oficial conocido (pactoglobal-colombia.org): verificar oficialidad",989708219a39fd28,2026-06-01
VC-0029,2026-06-01,Programa Vincúlate y Crece Sostenible - Bancóldex / Swisscontact,Bancóldex / Swisscontact / Banca de las Oportunidades,Banca multilateral,Colombia,Colombia,Financiamiento climático,"Financiamiento verde, instituciones microfinancieras",Asistencia técnica; Fortalecimiento institucional; Financiamiento concesional,No especificado,COP,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://www.bancoldex.com/soluciones-de-fortalecimiento-empresarial/programa-vinculate-y-crece-sostenible,No especificado,"Programa de Bancóldex, Swisscontact y Banca de las Oportunidades para seleccionar hasta 5 Instituciones Microfinancieras con límite de exposición de crédito en Bancóldex, con el fin de promover el financiamiento verde. Busca fortalecer capacidades de IMFs para financiar proyectos sostenibles.","Aplicable si Visión Circular articula con instituciones microfinancieras para financiar emprendimientos circulares, recicladores formalizados, o pequeñas empresas del sector. Fortalece el eslabón financiero de la economía circular.",Financiamiento a organizaciones de recicladores; crédito verde para MiPymes del sector de reciclaje; fortalecimiento de IMFs que financian economía circular; inclusión financiera de actores circulares,Instituciones Microfinancieras con límite de exposición de crédito en Bancóldex,No especificado,"Instituciones microfinancieras (Bancamía, Contactar, etc.), organizaciones de recicladores, cooperativas, Banca de las Oportunidades","Dirigido específicamente a IMFs, no directamente a proyectos; requiere articulación con intermediarios financieros",Identificar IMFs que trabajen con recicladores o MiPymes circulares; explorar alianzas para canalizar financiamiento verde hacia actores de Visión Circular.,Contactar a Bancóldex para conocer TdR y lista de IMFs participantes; explorar alianzas con IMFs para financiamiento de recicladores y empresas circulares,Coordinación de inclusión social / alianzas financieras,3,1,3,"Dirigido a IMFs, no directamente a proyectos. Relevancia indirecta para Visión Circular. No se especifican fechas de convocatoria. | Fuente fuera del listado oficial conocido (bancoldex.com): verificar oficialidad",6231f4a7d6b23915,2026-06-01
VC-0030,2026-06-01,Líneas de Crédito para Desarrollo Sostenible - Bancóldex,Bancóldex,Banca multilateral,Colombia,Colombia,Financiamiento climático,"Eficiencia energética, energía renovable, construcción sostenible, certificaciones ambientales",Financiamiento concesional,Hasta COP 1.500 millones para eficiencia energética y energía renovable; hasta COP 2.000 millones para Desarrollo Sostenible,COP,No especificado,Abierta permanentemente,Abierta permanentemente,Requiere verificación manual,Requiere verificación,https://www.bancoldex.com/creditos-para-el-desarrollo-sostenible-de-las-empresas,No especificado,"Líneas de crédito de Bancóldex para empresas colombianas que desarrollen proyectos de eficiencia energética, energía renovable, construcción sostenible y obtención de certificaciones ambientales (ISO 14001, Sello Ambiental Colombiano, etc.). Montos hasta COP 1.500 millones para eficiencia energética/renovables y hasta COP 2.000 millones para desarrollo sostenible. Convocatoria permanente.","Aplicable a empresas de Visión Circular que requieran financiamiento para infraestructura sostenible, plantas de reciclaje con eficiencia energética, certificaciones ambientales o proyectos de energía renovable en sus operaciones.",Infraestructura de reciclaje con eficiencia energética; plantas de transformación de residuos; certificaciones ISO 14001 para empresas del sector; energías renovables en centros de acopio y transformación,"Empresas colombianas; proyectos enmarcados en eficiencia energética, energía renovable, construcción sostenible o certificaciones ambientales",No especificado (consultar con Bancóldex),"Bancóldex, bancos comerciales intermediarios, empresas del sector de reciclaje y transformación, consultores en eficiencia energética","Es crédito, no grant (requiere capacidad de pago); montos pueden ser insuficientes para proyectos de gran escala",Difundir entre empresas de Visión Circular la disponibilidad de estas líneas de crédito; apoyar en preparación de solicitudes para proyectos elegibles.,Contactar a Bancóldex para conocer requisitos y proceso de solicitud; identificar empresas de Visión Circular interesadas; preparar fichas de proyecto,Coordinación de empresas / área de financiamiento,3,1,4,"Línea de crédito permanente, no convocatoria competitiva. Relevancia indirecta para economía circular (enfoque en eficiencia energética y certificaciones, no en reciclaje per se). | Fuente fuera del listado oficial conocido (bancoldex.com): verificar oficialidad",7a8276010755790f,2026-06-01
VC-0031,2026-06-01,Aceleradora de Financiamiento Climático Colombia 2026,Climate Finance Accelerator (CFA) Colombia,Plataforma,Colombia,Colombia,Clima,Residuos y economía circular,Aceleración; Asistencia técnica; Financiamiento climático,A partir de USD 1 millón (requerimiento mínimo del proyecto),USD,No especificado,2026-01-01,2026-02-20,Requiere verificación manual,Requiere verificación,https://www.emprendemejor.org/post/convocatoria-de-financiamiento-clim%C3%A1tico-2026-en-colombia,https://www.instagram.com/p/DT_Qk01FT3L,"La Aceleradora de Financiamiento Climático Colombia 2026 busca proyectos consolidados o en fase de crecimiento con requerimientos de financiamiento desde USD 1 millón. Ofrece fortalecimiento de casos de inversión, estrategias de levantamiento de capital y relacionamiento con inversionistas. Prioriza cinco sectores, incluyendo Residuos y economía circular.","Directamente relevante para Visión Circular ANDI al priorizar proyectos de residuos y economía circular con potencial de mitigación climática. Permite fortalecer proyectos empresariales de reciclaje, aprovechamiento y circularidad para acceder a financiamiento climático.",Proyectos de aprovechamiento de residuos de envases y empaques; infraestructura para reciclaje inclusivo; captura de metano; modelos de negocio circulares empresariales; pilotos de circularidad en cadenas de valor; proyectos REP con impacto climático medible,Proyectos consolidados o en fase de crecimiento; estructura financiera y modelo operativo robusto o en etapa de factibilidad; requerimientos de financiamiento mínimo USD 1 millón; potencial de mitigación o adaptación climática; resultados medibles,Caso de inversión; modelo financiero; estructura operativa del proyecto; indicadores de impacto climático; No especificado documentación completa,Empresas ANDI sector envases y empaques; gremios productivos; inversionistas de impacto; fondos climáticos; centros tecnológicos; organizaciones de recicladores formalizadas,Fecha de cierre cercana (20 feb 2026); requiere proyecto con madurez avanzada y estructura financiera robusta; monto mínimo alto puede excluir proyectos pequeños; competencia por cupos (10 proyectos seleccionados en cohorte actual),Identificar inmediatamente 2-3 proyectos empresariales de Visión Circular con potencial de financiamiento superior a USD 1 millón y comenzar preparación de caso de inversión. Priorizar proyectos con datos de reducción de emisiones o captura de metano.,Mapear proyectos empresariales en curso dentro de Visión Circular con potencial de escalamiento; contactar a organizadores de CFA Colombia para confirmar requisitos exactos y proceso de postulación; preparar preconcepto ejecutivo para validación interna ANDI esta semana,Dirección Ejecutiva Visión Circular con apoyo de Coordinación de proyectos y Alianzas empresariales,5,1,4,Sectores priorizados incluyen explícitamente 'Residuos y economía circular'. La fecha de cierre es febrero 2026 (en 13 días aprox si hoy es inicio feb 2026). Se infiere que es convocatoria anual basada en cohorte 2026. Requiere validación urgente de si la fecha límite es real o si hay extensión. | Fuente fuera del listado oficial conocido (emprendemejor.org): verificar oficialidad,a46412d5663e5919,2026-06-01
VC-0032,2026-06-01,Programa de innovación para la economía circular de los plásticos en América Latina 2025 (Cempre-WRAP),"Cempre Colombia, WRAP (Waste and Resources Action Programme), Red Global de Pactos por los Plásticos",Plataforma,Internacional (Reino Unido WRAP) / Colombia Cempre,"Colombia, Chile, México",Economía circular,"Plásticos flexibles, Envases y empaques",Asistencia técnica; Aceleración; Innovación,No especificado,No especificado,No especificado,Abierta,2025-09-22,Requiere verificación manual,Requiere verificación,https://cempre.org.co/nuevo-programa-de-innovacion-para-la-economia-circular-de-los-plasticos-en-america-latina-2025,No especificado,"Convocatoria para seleccionar 10 soluciones empresariales innovadoras enfocadas en envases y empaques plásticos flexibles en Colombia, Chile y México. Ofrece programa de fortalecimiento de capacidades, apoyo técnico, talleres especializados y acceso a redes empresariales para impulsar escalabilidad y expansión a nuevos mercados.","Altamente pertinente para Visión Circular ANDI dado el enfoque en envases y empaques plásticos flexibles, uno de los retos centrales del programa. Permite conectar empresas colombianas con red internacional y fortalecer capacidades en economía circular de plásticos.",Innovación en reciclaje de flexibles; ecodiseño de empaques; sustitución de plásticos problemáticos; nuevos modelos de negocio para envases retornables; tecnologías de clasificación y aprovechamiento de flexibles; proyectos piloto empresariales,"Empresas de cualquier tamaño; organizaciones legales con capacidad de operar en Colombia, Chile o México; soluciones enfocadas en retos de envases y empaques flexibles; innovación demostrable",No especificado,Empresas ANDI del sector empaques; productores de resinas; transformadores de plásticos; empresas de consumo masivo; recicladores especializados; universidades con líneas de investigación en materiales,"Convocatoria regional con alta competencia; no especifica monto de apoyo económico directo, solo asistencia técnica; se infiere que es más aceleración que financiamiento; requiere capacidad operativa en países priorizados",Mapear empresas colombianas del programa Visión Circular con soluciones innovadoras en plásticos flexibles y promover su postulación. Considerar postulación conjunta ANDI-empresa como mecanismo de apoyo.,Solicitar términos de referencia completos a Cempre Colombia; identificar 3-5 empresas o startups candidatas dentro del ecosistema Visión Circular; preparar carta de apoyo institucional ANDI para fortalecer postulaciones,Coordinación técnica de Visión Circular con apoyo de área de Innovación y Alianzas empresariales,5,1,5,"Fecha de cierre septiembre 2025 da ventana amplia. Cempre Colombia es aliado conocido de ANDI. WRAP es organización internacional reconocida. No queda claro si hay financiamiento directo o solo asistencia técnica, pero el apoyo en capacidades y redes es valioso. | Fuente fuera del listado oficial conocido (cempre.org.co): verificar oficialidad",df72dc0a738ed612,2026-06-01
VC-0033,2026-06-01,Convocatoria EcoCiclo - Agencia ATENEA Bogotá,"Agencia ATENEA - Agencia Distrital para la Educación Superior, la Ciencia y la Tecnología (Bogotá)",Gobierno,Colombia,"Bogotá D.C., Colombia",Economía circular,"Ecodiseño, Envases y empaques, Reciclaje, Plásticos de un solo uso",Cofinanciación; Innovación; Investigación aplicada,No especificado,COP,"Sí, requiere alianza entre centros de investigación y empresas",Abierta,2025-09-25,Requiere verificación manual,Requiere verificación,https://agenciaatenea.gov.co/noticias/agencia-atenea-lanza-convocatoria-para-promover-la-sustitucion-de-plasticos-de-un-solo-uso-y-el,No especificado,"Convocatoria EcoCiclo busca conformar un Banco de Proyectos de investigación e innovación en alianzas entre centros de investigación y empresas que utilizan empaques y envases. Financia proyectos en ecodiseño, alternativas sostenibles, sustitución de plásticos de un solo uso, aprovechamiento de residuos y economía circular. Los proyectos financiables definitivos se conocerán el 3 de noviembre 2025.","Muy pertinente para Visión Circular ANDI al enfocarse en ecodiseño de envases y empaques, sustitución de plásticos de un solo uso y aprovechamiento de residuos. Permite articular empresas ANDI con centros de investigación bogotanos para proyectos de I+D+i aplicada.",Ecodiseño de envases y empaques; sustitución de plásticos de un solo uso por alternativas sostenibles; aprovechamiento de residuos de empaques; vigilancia tecnológica en soluciones circulares; desarrollo de materiales alternativos; procesos de reciclaje mejorado,Alianza estratégica entre centros de investigación y empresas que utilizan empaques y envases; proyecto de investigación e innovación aplicada; enfoque en las temáticas priorizadas; localización o capacidad de ejecución en Bogotá,"Términos de referencia deben consultarse en plataforma de Agencia ATENEA; se infiere que requiere propuesta técnica, presupuesto, acuerdos de colaboración, justificación de innovación","Universidades bogotanas (Andes, Nacional, Javeriana, EAN, etc.); centros de investigación (Corporación Innovar, CIAB); empresas ANDI del sector empaques (Alquería, Alpina, Bavaria, empresas de transformación de plásticos); Sena - Centro de Tecnología de Manufactura Avanzada",Convocatoria distrital limitada a Bogotá; requiere alianza previa con centro de investigación; proceso competitivo; fecha de resultado (nov 2025) implica ejecución 2026; no especifica montos disponibles,Difundir convocatoria entre empresas ANDI en Bogotá con retos en envases y empaques. Facilitar ruedas de conexión entre empresas y centros de investigación. Preparar carta de apoyo institucional ANDI para proyectos alineados con Visión Circular.,Descargar términos de referencia completos de EcoCiclo; organizar webinar informativo para empresas ANDI; mapear centros de investigación disponibles para alianzas; identificar 5 empresas prioritarias con retos concretos en envases,Coordinación de proyectos Visión Circular con apoyo de área de Innovación y relacionamiento con academia,5,1,4,Convocatoria cerrada en septiembre 2025 pero con ventana amplia. La fuente es oficial (sitio web Agencia ATENEA). No especifica montos pero siendo agencia distrital de CTI se infiere financiamiento significativo. Requiere presencia o capacidad de ejecución en Bogotá. | Fuente fuera del listado oficial conocido (agenciaatenea.gov.co): verificar oficialidad,000232e27d75cf67,2026-06-01
VC-0034,2026-06-01,Programa de Pequeñas Donaciones del GEF Colombia (PPD-GEF),Global Environment Facility (GEF) / PNUD Colombia,Fondo ambiental,Internacional / Colombia,Colombia,Biodiversidad y ambiente,"Gestión comunitaria, Producción sostenible, Negocios verdes",Grant no reembolsable; Fortalecimiento institucional,Pequeñas donaciones (fondos no reembolsables),USD,No especificado,Abierta permanentemente,Abierta permanentemente (convocatorias periódicas),Requiere verificación manual,Requiere verificación,https://www.undp.org/es/colombia/projects/programa-pequenas-donaciones-gef,No especificado,"El Programa de Pequeñas Donaciones del GEF en Colombia fortalece la gestión ambiental comunitaria mediante fondos no reembolsables. Trabaja en conservación de biodiversidad, cambio climático, producción sostenible y negocios verdes con enfoque comunitario y territorial. Cobertura nacional con tres líneas temáticas priorizadas.","Pertinencia indirecta para Visión Circular: permite apoyar proyectos comunitarios de aprovechamiento de residuos, negocios verdes de reciclaje, producción sostenible con enfoque circular y fortalecimiento de organizaciones de recicladores de base con impacto en conservación y clima.",Negocios verdes de aprovechamiento de residuos orgánicos; fortalecimiento de cooperativas de recicladores en territorios priorizados; producción sostenible con cierre de ciclo de materiales; proyectos comunitarios de economía circular rural; emprendimientos de economía circular con comunidades,Enfoque comunitario; contribución a conservación de biodiversidad y/o cambio climático; fortalecimiento de capacidades locales; mejoramiento de modos de vida; alineación con una de las tres líneas temáticas del programa,"No especificado en la fuente; típicamente requiere propuesta de proyecto comunitario, presupuesto, aval comunitario, carta de compromiso organizacional",Organizaciones de recicladores de base; cooperativas rurales; autoridades ambientales regionales; alcaldías municipales; ONGs locales; organizaciones comunitarias; resguardos indígenas con proyectos de manejo de residuos,"Programa orientado principalmente a conservación de biodiversidad, no específicamente a economía circular urbana o envases; montos pequeños pueden no ajustarse a proyectos empresariales; proceso puede ser lento; requiere fuerte componente comunitario","Explorar si el PPD-GEF puede financiar componentes de inclusión de recicladores de base en iniciativas de Visión Circular, especialmente en territorios priorizados. Considerar para proyectos piloto comunitarios de aprovechamiento de residuos con enfoque de biodiversidad o clima.",Contactar al coordinador del PPD-GEF Colombia en PNUD para entender mejor elegibilidad de proyectos de economía circular y reciclaje inclusivo; revisar si hay convocatorias abiertas actualmente; explorar alianza para componente comunitario de proyectos mayores de Visión Circular,Coordinación de Inclusión social o Coordinación de proyectos territoriales de Visión Circular,3,1,3,"Programa permanente pero convocatorias son periódicas (no especifica fechas actuales). Pertinencia indirecta porque prioriza biodiversidad sobre circularidad industrial, pero puede ser relevante para componentes de inclusión de recicladores y proyectos comunitarios. Requiere validar si proyectos de reciclaje urbano son elegibles bajo línea de negocios verdes.",06e771a455944223,2026-06-01
